seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr13	77604100	77604199	100	*	Distal Intergenic	13	77579389	77601331	21943	2	26224	uc001vkd.3	-2769	ENSG00000005812	FBXL3	F-box and leucine rich repeat protein 3
chr13	77609875	77610049	175	*	Distal Intergenic	13	77579389	77601331	21943	2	26224	uc001vkd.3	-8544	ENSG00000005812	FBXL3	F-box and leucine rich repeat protein 3
chr13	80959425	80959524	100	*	Distal Intergenic	13	80910112	80915086	4975	2	10253	uc001vlj.3	-44339	ENSG00000136158	SPRY2	sprouty RTK signaling antagonist 2
chr13	96560200	96560449	250	*	Intron (uc001vmt.3/55757, intron 20 of 38)	13	96529156	96547558	18403	2	55757	uc001vmu.1	-12642	ENSG00000102595	UGGT2	UDP-glucose glycoprotein glucosyltransferase 2
chr13	100552000	100552149	150	*	Distal Intergenic	13	100615275	100624178	8904	2	85416	uc001vom.1	72029	ENSG00000139800	ZIC5	Zic family member 5
chr13	103238550	103238574	25	*	Distal Intergenic	13	103249286	103331523	82238	1	7174	uc001vpi.4	-10712	ENSG00000134900	TPP2	tripeptidyl peptidase 2
chr13	110394700	110394949	250	*	Distal Intergenic	13	110406184	110438914	32731	2	8660	uc001vqv.3	43965	ENSG00000185950	IRS2	insulin receptor substrate 2
chr14	19843875	19844124	250	*	Distal Intergenic	14	19894369	19904572	10204	1	414763	uc001vvt.3	-50245	NA	BMS1P18	BMS1 pseudogene 18
chr14	22648375	22648574	200	*	Intron (uc001wbw.2/uc001wbw.2, intron 2 of 5)	14	23033807	23058143	24337	2	1603	uc001wgl.2	409569	ENSG00000129562	DAD1	defender against cell death 1
chr14	22996100	22996124	25	*	Intron (uc001wbw.2/uc001wbw.2, intron 3 of 5)	14	23033807	23058143	24337	2	1603	uc001wgl.2	62019	ENSG00000129562	DAD1	defender against cell death 1
chr14	23008200	23008424	225	*	Intron (uc001wbw.2/uc001wbw.2, intron 3 of 5)	14	23033807	23058143	24337	2	1603	uc001wgl.2	49719	ENSG00000129562	DAD1	defender against cell death 1
chr14	35913075	35913274	200	*	Distal Intergenic	14	35870716	35873960	3245	2	4792	uc001wtf.4	-39115	ENSG00000100906	NFKBIA	NFKB inhibitor alpha
chr14	36286725	36286749	25	*	Distal Intergenic	14	36018316	36278432	260117	2	253959	uc010tpw.1	-8293	ENSG00000174373	RALGAPA1	Ral GTPase activating protein catalytic alpha subunit 1
chr14	39528000	39528199	200	*	Intron (uc001wup.1/10484, intron 13 of 19)	14	39524403	39560917	36515	2	10484	uc010tqc.1	32718	ENSG00000100934	SEC23A	Sec23 homolog A, coat complex II component
chr14	50079450	50079574	125	*	Intron (uc001wwn.3/122769, intron 3 of 3)	14	50085406	50087403	1998	2	6166	uc001wwq.2	7829	ENSG00000165502	RPL36AL	ribosomal protein L36a like
chr14	53562275	53562349	75	*	Intron (uc001xah.3/80821, intron 2 of 11)	14	53503458	53560382	56925	2	80821	uc001xag.3	-1893	ENSG00000100523	DDHD1	DDHD domain containing 1
chr14	64951575	64951724	150	*	Intron (uc001xhc.3/7597, intron 2 of 2)	14	64953555	64970554	17000	2	7597	uc001xhf.3	18830	ENSG00000089775	ZBTB25	zinc finger and BTB domain containing 25
chr14	77191150	77191374	225	*	Distal Intergenic	14	77228235	77239980	11746	1	22846	uc001xss.3	-36861	ENSG00000071246	VASH1	vasohibin 1
chr14	99913975	99914224	250	*	Intron (uc031qqj.1/84193, intron 6 of 12)	14	99864083	99946581	82499	2	84193	uc031qqj.1	32357	ENSG00000183576	SETD3	SET domain containing 3, actin histidine methyltransferase
chr14	99919850	99920074	225	*	Intron (uc031qqj.1/84193, intron 6 of 12)	14	99864083	99946581	82499	2	84193	uc031qqj.1	26507	ENSG00000183576	SETD3	SET domain containing 3, actin histidine methyltransferase
chr14	99921350	99921499	150	*	Intron (uc031qqj.1/84193, intron 6 of 12)	14	99864083	99946581	82499	2	84193	uc031qqj.1	25082	ENSG00000183576	SETD3	SET domain containing 3, actin histidine methyltransferase
chr14	104203225	104203374	150	*	Intron (uc010awv.1/23368, intron 6 of 7)	14	104197768	104200005	2238	1	79038	uc001yoe.3	5457	ENSG00000100711	ZFYVE21	zinc finger FYVE-type containing 21
chr14	104513525	104513799	275	*	Intron (uc001yom.4/122402, intron 34 of 35)	14	104515755	104519004	3250	1	122402	uc031qqq.1	-1956	ENSG00000156414	TDRD9	tudor domain containing 9
chr15	33524150	33524374	225	*	Distal Intergenic	15	33528677	33539756	11080	2	100652857	uc031qri.1	15382	NA	TMCO5B	transmembrane and coiled-coil domains 5B (pseudogene)
chr15	39886200	39886274	75	*	Intron (uc001zkh.3/7057, intron 19 of 21)	15	39880801	39889668	8868	1	7057	uc010bbi.3	5399	ENSG00000137801	THBS1	thrombospondin 1
chr15	43479200	43479374	175	*	Intron (uc021sjs.1/23582, intron 2 of 6)	15	43478018	43489375	11358	1	23582	uc001zqy.3	1182	ENSG00000166946	CCNDBP1	cyclin D1 binding protein 1
chr15	49481475	49481649	175	*	Intron (uc001zxi.1/2585, intron 1 of 9)	15	49462443	49622002	159560	1	2585	uc010ufc.1	19032	ENSG00000156958	GALK2	galactokinase 2
chr15	49482875	49482999	125	*	Intron (uc001zxi.1/2585, intron 1 of 9)	15	49462443	49622002	159560	1	2585	uc010ufc.1	20432	ENSG00000156958	GALK2	galactokinase 2
chr15	51887725	51887824	100	*	Intron (uc002abf.3/23312, intron 1 of 42)	15	51739921	51914967	175047	2	23312	uc002abf.3	27143	ENSG00000104093	DMXL2	Dmx like 2
chr15	59198575	59198599	25	*	Intron (uc002afo.3/79811, intron 5 of 20)	15	59171244	59186781	15538	2	79811	uc002afn.3	-11794	ENSG00000137776	SLTM	SAFB like transcription modulator
chr15	62125700	62125924	225	*	Distal Intergenic	15	62198842	62209834	10993	2	54832	uc002ahd.1	83910	ENSG00000129003	VPS13C	vacuolar protein sorting 13 homolog C
chr15	63398300	63398499	200	*	Distal Intergenic	15	63413999	63422026	8028	1	114294	uc002alv.3	-15500	ENSG00000103642	LACTB	lactamase beta
chr15	64683025	64683274	250	*	Intron (uc002anm.3/9325, intron 1 of 12)	15	64680003	64747502	67500	1	9325	uc002anm.3	3022	ENSG00000103671	TRIP4	thyroid hormone receptor interactor 4
chr15	67602875	67603074	200	*	Intron (uc010ujv.2/64799, intron 5 of 7)	15	67493013	67547536	54524	2	79719	uc010uju.3	-55339	ENSG00000103591	AAGAB	alpha and gamma adaptin binding protein
chr15	70352200	70352399	200	*	Intron (uc002ask.2/7090, intron 7 of 17)	15	70358353	70366946	8594	2	7090	uc010bim.1	14547	ENSG00000140332	TLE3	TLE family member 3, transcriptional corepressor
chr15	70365400	70365574	175	*	Intron (uc002ask.2/7090, intron 4 of 17)	15	70358353	70366946	8594	2	7090	uc010bim.1	1372	ENSG00000140332	TLE3	TLE family member 3, transcriptional corepressor
chr15	72116350	72116549	200	*	Downstream (1-2kb)	15	72102894	72110597	7704	1	10002	uc002ati.3	13456	ENSG00000278570	NR2E3	nuclear receptor subfamily 2 group E member 3
chr15	72127825	72128049	225	*	Intron (uc002atk.3/4649, intron 16 of 18)	15	72102894	72110597	7704	1	10002	uc002ati.3	24931	ENSG00000278570	NR2E3	nuclear receptor subfamily 2 group E member 3
chr15	82602675	82602824	150	*	Intron (uc021ssl.1/390660, intron 8 of 23)	15	82585621	82626915	41295	1	390660	uc021ssl.1	17054	ENSG00000274376	ADAMTS7P1	ADAMTS7 pseudogene 1
chr15	84968925	84969074	150	*	Distal Intergenic	15	84904525	84914120	9596	1	643707	uc021stn.2	64400	ENSG00000184206	GOLGA6L4	golgin A6 family like 4
chr16	723800	723899	100	*	3' UTR	16	725706	728267	2562	1	9028	uc002cir.1	-1807	ENSG00000103269	RHBDL1	rhomboid like 1
chr16	1993850	1994124	275	*	Promoter	16	1988234	1993294	5061	2	51734	uc021tam.1	-556	ENSG00000198736	MSRB1	methionine sulfoxide reductase B1
chr16	3680500	3680724	225	*	Distal Intergenic	16	3650622	3661585	10964	2	84464	uc002cvq.1	-18915	ENSG00000188827	SLX4	SLX4 structure-specific endonuclease subunit
chr16	4673025	4673199	175	*	Distal Intergenic	16	4674825	4740975	66151	1	23295	uc002cwz.3	-1626	ENSG00000102858	MGRN1	mahogunin ring finger 1
chr16	21473725	21473899	175	*	Intron (uc021tel.1/uc021tel.1, intron 2 of 3)	16	21415198	21471256	56059	2	100271836	uc002diu.1	-2469	ENSG00000180747	SMG1P3	SMG1 pseudogene 3
chr16	27524400	27524599	200	*	Intron (uc002dou.3/2975, intron 6 of 36)	16	27471934	27561251	89318	2	2975	uc002dou.3	36652	ENSG00000077235	GTF3C1	general transcription factor IIIC subunit 1
chr16	34039900	34039949	50	*	Distal Intergenic	16	33961052	33962503	1452	2	649159	uc021thl.1	-77397	NA	LINC00273	long intergenic non-protein coding RNA 273
chr16	50409875	50410049	175	*	Distal Intergenic	16	50352929	50402845	49917	2	29117	uc021thx.1	-7030	ENSG00000166164	BRD7	bromodomain containing 7
chr16	51799275	51799449	175	*	Distal Intergenic	16	52060264	52107847	47584	2	388276	uc021tih.1	308398	ENSG00000261190	C16orf97	chromosome 16 open reading frame 97
chr16	55443450	55443624	175	*	Distal Intergenic	16	55513081	55540586	27506	1	4313	uc002ehz.4	-69457	ENSG00000087245	MMP2	matrix metallopeptidase 2
chr16	58795075	58795249	175	*	Intron (uc031qwk.1/uc031qwk.1, intron 2 of 3)	16	58741035	58768246	27212	2	2806	uc010vim.1	-26829	ENSG00000125166	GOT2	glutamic-oxaloacetic transaminase 2
chr16	64997925	64998149	225	*	Intron (uc010cdn.3/1009, intron 7 of 8)	16	64980683	65038944	58262	2	1009	uc010cdn.3	40795	ENSG00000140937	CDH11	cadherin 11
chr16	67715475	67715674	200	*	3' UTR	16	67700717	67702661	1945	1	388284	uc002etz.3	14758	ENSG00000159761	C16orf86	chromosome 16 open reading frame 86
chr16	70003800	70003924	125	*	Intron (uc002exy.4/283971, intron 4 of 12)	16	69985164	69995303	10140	1	348174	uc010vlp.2	18636	ENSG00000157322	CLEC18A	C-type lectin domain family 18 member A
chr16	70004175	70004399	225	*	Intron (uc002exy.4/283971, intron 4 of 12)	16	69985164	69995303	10140	1	348174	uc010vlp.2	19011	ENSG00000157322	CLEC18A	C-type lectin domain family 18 member A
chr16	70237025	70237099	75	*	Distal Intergenic	16	70253484	70259936	6453	2	100506060	uc002eyl.1	22837	ENSG00000261556	SMG1P7	SMG1 pseudogene 7
chr16	73589925	73590149	225	*	Distal Intergenic	16	73420704	73455295	34592	1	100506172	uc002fco.2	169221	ENSG00000258779	LINC01568	long intergenic non-protein coding RNA 1568
chr16	81030925	81030999	75	*	Exon (uc002ffu.3/56942, exon 2 of 4)	16	81040103	81056487	16385	1	55839	uc002ffw.4	-9104	ENSG00000166451	CENPN	centromere protein N
chr16	81047800	81047974	175	*	Intron (uc002ffw.4/55839, intron 3 of 6)	16	81009699	81040502	30804	2	56942	uc002ffu.3	-7298	ENSG00000103121	CMC2	C-X9-C motif containing 2
chr16	81806575	81806824	250	*	Distal Intergenic	16	81812899	81991899	179001	1	5336	uc002fgt.3	-6075	ENSG00000197943	PLCG2	phospholipase C gamma 2
chr16	83836800	83837049	250	*	Distal Intergenic	16	83841508	83846607	5100	1	3281	uc002fgy.2	-4459	ENSG00000230989	HSBP1	heat shock factor binding protein 1
chr16	83844325	83844599	275	*	Intron (uc002fgy.2/3281, intron 3 of 3)	16	83841508	83846607	5100	1	3281	uc002fgy.2	2817	ENSG00000230989	HSBP1	heat shock factor binding protein 1
chr16	83922025	83922174	150	*	Distal Intergenic	16	83932730	83949787	17058	1	23417	uc002fgz.3	-10556	ENSG00000103150	MLYCD	malonyl-CoA decarboxylase
chr16	85794350	85794599	250	*	Distal Intergenic	16	85741124	85784689	43566	2	404550	uc002fjc.4	-9661	ENSG00000154102	C16orf74	chromosome 16 open reading frame 74
chr16	87121400	87121649	250	*	Intron (uc002fjt.1/uc002fjt.1, intron 4 of 4)	16	87336404	87351026	14623	2	100506581	uc002fju.3	229377	ENSG00000260456	C16orf95	chromosome 16 open reading frame 95
chr16	87761400	87761649	250	*	Intron (uc010cht.2/54758, intron 4 of 8)	16	87736729	87743273	6545	2	54758	uc002fkh.1	-18127	ENSG00000104731	KLHDC4	kelch domain containing 4
chr17	1479200	1479324	125	*	Intron (uc002fsu.3/124935, intron 14 of 14)	17	1424873	1466110	41238	2	5306	uc021tng.1	-13090	ENSG00000174238	PITPNA	phosphatidylinositol transfer protein alpha
chr17	1480100	1480299	200	*	Intron (uc002fsu.3/124935, intron 13 of 14)	17	1424873	1466110	41238	2	5306	uc021tng.1	-13990	ENSG00000174238	PITPNA	phosphatidylinositol transfer protein alpha
chr17	1758850	1759049	200	*	Intron (uc002fto.2/6117, intron 5 of 16)	17	1733273	1802848	69576	1	6117	uc002fto.2	25577	ENSG00000132383	RPA1	replication protein A1
chr17	2636375	2636624	250	*	Distal Intergenic	17	2651372	2651476	105	2	100302208	uc021tnr.1	14852	ENSG00000221200	MIR1253	microRNA 1253
chr17	4049950	4050099	150	*	Intron (uc002fxm.4/124936, intron 1 of 3)	17	4046915	4060995	14081	1	124936	uc002fxl.5	3035	ENSG00000167740	CYB5D2	cytochrome b5 domain containing 2
chr17	6317250	6317499	250	*	Distal Intergenic	17	6327059	6338452	11394	2	23746	uc021toq.1	20953	ENSG00000129221	AIPL1	aryl hydrocarbon receptor interacting protein like 1
chr17	16717350	16717524	175	*	Distal Intergenic	17	16733797	16736147	2351	2	400578	uc010vwr.1	18623	NA	KRT16P2	keratin 16 pseudogene 2
chr17	17199025	17199224	200	*	Distal Intergenic	17	17206680	17250977	44298	1	56953	uc002grf.3	-7456	ENSG00000205309	NT5M	5',3'-nucleotidase, mitochondrial
chr17	17200125	17200424	300	*	Distal Intergenic	17	17206680	17250977	44298	1	56953	uc002grf.3	-6256	ENSG00000205309	NT5M	5',3'-nucleotidase, mitochondrial
chr17	21160500	21160749	250	*	Distal Intergenic	17	21142184	21156578	14395	2	256302	uc010vzx.2	-3922	ENSG00000274180	NATD1	N-acetyltransferase domain containing 1
chr17	27604225	27604474	250	*	Intron (uc002hdx.4/57532, intron 1 of 2)	17	27582854	27621166	38313	2	57532	uc002hdx.4	16692	ENSG00000108256	NUFIP2	nuclear FMR1 interacting protein 2
chr17	32479125	32479349	225	*	Intron (uc002hhu.3/40, intron 1 of 9)	17	31340106	32483825	1143720	2	40	uc002hhu.3	4476	ENSG00000108684	ASIC2	acid sensing ion channel subunit 2
chr17	33278500	33278724	225	*	Intron (uc002hig.3/10693, intron 5 of 13)	17	33254878	33288528	33651	2	10693	uc002hig.3	9804	ENSG00000132141	CCT6B	chaperonin containing TCP1 subunit 6B
chr17	33919150	33919399	250	*	Intron (uc002hjq.3/163, intron 1 of 21)	17	33914573	34053436	138864	1	163	uc010ctv.3	4577	ENSG00000006125	AP2B1	adaptor related protein complex 2 subunit beta 1
chr17	33920250	33920424	175	*	Intron (uc002hjq.3/163, intron 1 of 21)	17	33914573	34053436	138864	1	163	uc010ctv.3	5677	ENSG00000006125	AP2B1	adaptor related protein complex 2 subunit beta 1
chr17	35712850	35713049	200	*	Intron (uc002hnm.3/31, intron 1 of 55)	17	35441927	35716059	274133	2	31	uc002hnm.3	3010	ENSG00000278540	ACACA	acetyl-CoA carboxylase alpha
chr17	35727225	35727374	150	*	Intron (uc002hnn.3/31, intron 1 of 59)	17	35687113	35722691	35579	2	31	uc002hnr.1	-4534	ENSG00000278540	ACACA	acetyl-CoA carboxylase alpha
chr17	38126650	38126824	175	*	Exon (uc002htl.1/284110, exon 4 of 12)	17	38121911	38134019	12109	1	284110	uc002htm.1	4739	ENSG00000167914	GSDMA	gasdermin A
chr17	43209075	43209224	150	*	Promoter	17	43189008	43209891	20884	2	113026	uc002iib.3	667	ENSG00000161714	PLCD3	phospholipase C delta 3
chr17	60720825	60721049	225	*	Intron (uc002jad.4/9902, intron 1 of 29)	17	60704762	60770962	66201	1	9902	uc002jad.4	16063	ENSG00000011028	MRC2	mannose receptor C type 2
chr17	62801250	62801499	250	*	Intron (uc002jev.3/440456, intron 5 of 18)	17	62818148	62818220	73	2	100423004	uc021ubu.1	16721	ENSG00000284055	MIR4315-1	microRNA 4315-1
chr17	62804750	62804899	150	*	Intron (uc002jev.3/440456, intron 5 of 18)	17	62818148	62818220	73	2	100423004	uc021ubu.1	13321	ENSG00000284055	MIR4315-1	microRNA 4315-1
chr17	62805325	62805624	300	*	Intron (uc002jev.3/440456, intron 5 of 18)	17	62818148	62818220	73	2	100423004	uc021ubu.1	12596	ENSG00000284055	MIR4315-1	microRNA 4315-1
chr17	63205675	63205824	150	*	Intron (uc021ubw.1/8787, intron 16 of 16)	17	63184822	63223821	39000	1	8787	uc002jfg.3	20853	ENSG00000108370	RGS9	regulator of G protein signaling 9
chr17	65076850	65077024	175	*	Intron (uc002jfv.4/9931, intron 30 of 30)	17	65104267	65105802	1536	2	9931	uc010der.3	28778	ENSG00000198265	HELZ	helicase with zinc finger
chr17	72722450	72722674	225	*	Intron (uc002jlc.2/326624, intron 1 of 5)	17	72732737	72743474	10738	1	326624	uc010wrb.2	-10063	ENSG00000172794	RAB37	RAB37, member RAS oncogene family
chr17	73592700	73592924	225	*	Exon (uc002jom.1/80022, exon 12 of 26)	17	73598284	73601519	3236	1	80022	uc002joq.4	-5360	ENSG00000266714	MYO15B	myosin XVB
chr17	78045850	78046149	300	*	Intron (uc021uem.1/55036, intron 10 of 17)	17	78055242	78074412	19171	1	55036	uc002jxn.4	-9093	ENSG00000141519	CCDC40	coiled-coil domain containing 40
chr18	3236075	3236324	250	*	Distal Intergenic	18	3247528	3256234	8707	1	10627	uc002klr.3	-11204	ENSG00000101608	MYL12A	myosin light chain 12A
chr18	5047825	5047999	175	*	Distal Intergenic	18	5143672	5197255	53584	2	642597	uc010wzc.1	149256	ENSG00000231824	AKAIN1	A-kinase anchor inhibitor 1
chr18	7557100	7557374	275	*	Distal Intergenic	18	7567314	8406859	839546	1	5797	uc002knn.4	-9940	ENSG00000173482	PTPRM	protein tyrosine phosphatase receptor type M
chr18	12317925	12318199	275	*	Intron (uc002kqv.3/84617, intron 2 of 2)	18	12308257	12329824	21568	1	84617	uc002kqy.3	9668	ENSG00000176014	TUBB6	tubulin beta 6 class V
chr18	12717125	12717324	200	*	Intron (uc002krg.3/56984, intron 3 of 6)	18	12702987	12725739	22753	1	56984	uc002krk.3	14138	ENSG00000128789	PSMG2	proteasome assembly chaperone 2
chr18	29673500	29673674	175	*	Promoter	18	29672569	29711524	38956	1	51444	uc021uip.2	931	ENSG00000134758	RNF138	ring finger protein 138
chr18	30156725	30156949	225	*	Distal Intergenic	18	30091626	30094597	2972	1	441818	uc010dmc.3	65099	ENSG00000260389	WBP11P1	WW domain binding protein 11 pseudogene 1
chr18	32406300	32406474	175	*	Intron (uc002kxu.2/1837, intron 11 of 12)	18	32398247	32471808	73562	1	1837	uc010xca.2	8053	ENSG00000134769	DTNA	dystrobrevin alpha
chr18	72763150	72763274	125	*	Intron (uc002llw.2/55628, intron 7 of 7)	18	72909278	72917468	8191	2	284273	uc010dqv.3	154194	ENSG00000180011	ZADH2	zinc binding alcohol dehydrogenase domain containing 2
chr18	72764575	72764649	75	*	Intron (uc002llw.2/55628, intron 7 of 7)	18	72909278	72917468	8191	2	284273	uc010dqv.3	152819	ENSG00000180011	ZADH2	zinc binding alcohol dehydrogenase domain containing 2
chr19	246225	246424	200	*	Distal Intergenic	19	197016	202209	5194	2	399844	uc010drm.2	-44016	NA	LINC01002	long intergenic non-protein coding RNA 1002
chr19	2792475	2792499	25	*	Intron (uc002lwj.3/7064, intron 2 of 12)	19	2796016	2813599	17584	1	7064	uc010xgz.2	-3517	ENSG00000172009	THOP1	thimet oligopeptidase 1
chr19	4674950	4674974	25	*	Downstream (<1kb)	19	4679294	4685960	6667	1	100131094	uc021ung.1	-4320	ENSG00000205790	DPP9-AS1	DPP9 antisense RNA 1
chr19	4683700	4683924	225	*	3' UTR	19	4679294	4685960	6667	1	100131094	uc021ung.1	4406	ENSG00000205790	DPP9-AS1	DPP9 antisense RNA 1
chr19	5671575	5671824	250	*	Distal Intergenic	19	5680776	5685596	4821	1	374875	uc002mcj.4	-8952	ENSG00000167733	HSD11B1L	hydroxysteroid 11-beta dehydrogenase 1 like
chr19	5919025	5919224	200	*	Intron (uc002mdv.3/8498, intron 9 of 11)	19	5914193	5916222	2030	1	828	uc002mdu.3	4832	ENSG00000105519	CAPS	calcyphosine
chr19	11007650	11007899	250	*	Intron (uc002mpz.3/10498, intron 1 of 15)	19	11022860	11033448	10589	1	10498	uc002mqa.3	-14961	ENSG00000142453	CARM1	coactivator associated arginine methyltransferase 1
chr19	13033225	13033474	250	*	3' UTR	19	13009894	13030086	20193	2	256126	uc002mvr.2	-3139	ENSG00000161860	SYCE2	synaptonemal complex central element protein 2
chr19	13834100	13834349	250	*	Distal Intergenic	19	13842574	13869932	27359	1	81576	uc010xnf.2	-8225	ENSG00000104957	CCDC130	coiled-coil domain containing 130
chr19	13844650	13844699	50	*	Intron (uc010xnf.2/81576, intron 2 of 7)	19	13842574	13869932	27359	1	81576	uc010xnf.2	2076	ENSG00000104957	CCDC130	coiled-coil domain containing 130
chr19	16750725	16750849	125	*	Distal Intergenic	19	16685718	16739015	53298	2	9441	uc002nen.1	-11710	ENSG00000105085	MED26	mediator complex subunit 26
chr19	17968700	17968949	250	*	Distal Intergenic	19	17970687	17974133	3447	1	6142	uc002nhp.3	-1738	ENSG00000105640	RPL18A	ribosomal protein L18a
chr19	19447825	19447924	100	*	Intron (uc002nmk.4/23383, intron 3 of 18)	19	19455061	19469563	14503	1	23383	uc002nml.4	-7137	ENSG00000129933	MAU2	MAU2 sister chromatid cohesion factor
chr19	36237275	36237449	175	*	Promoter	19	36236494	36243734	7241	1	55851	uc002obk.1	781	ENSG00000205155	PSENEN	presenilin enhancer, gamma-secretase subunit
chr19	41353525	41353749	225	*	Intron (uc002opl.4/1548, intron 4 of 8)	19	41351861	41356351	4491	2	1548	uc010ehf.1	2602	ENSG00000255974	CYP2A6	cytochrome P450 family 2 subfamily A member 6
chr19	43278275	43278424	150	*	Intron (uc002ouf.3/5671, intron 1 of 7)	19	43258385	43269831	11447	2	440533	uc002ouo.2	-8444	ENSG00000124467	PSG8	pregnancy specific beta-1-glycoprotein 8
chr19	44032500	44032574	75	*	Intron (uc002owq.3/284346, intron 2 of 4)	19	44011780	44031396	19617	2	23474	uc010eiu.1	-1104	ENSG00000105755	ETHE1	ETHE1 persulfide dioxygenase
chr19	44159125	44159374	250	*	Intron (uc002oxd.2/5329, intron 5 of 6)	19	44150247	44174498	24252	2	5329	uc002oxd.2	15124	ENSG00000011422	PLAUR	plasminogen activator, urokinase receptor
chr19	46793600	46793749	150	*	Intron (uc031rlk.1/100873770, intron 1 of 1)	19	46800303	46815969	15667	1	64344	uc002pef.2	-6554	ENSG00000124440	HIF3A	hypoxia inducible factor 3 subunit alpha
chr19	46795850	46796049	200	*	Intron (uc031rlk.1/100873770, intron 1 of 1)	19	46800303	46815969	15667	1	64344	uc002pef.2	-4254	ENSG00000124440	HIF3A	hypoxia inducible factor 3 subunit alpha
chr19	47521175	47521424	250	*	Distal Intergenic	19	47523101	47549017	25917	1	4861	uc002pfw.3	-1677	ENSG00000130751	NPAS1	neuronal PAS domain protein 1
chr19	49965850	49966024	175	*	Exon (uc002pnt.3/126133, exon 8 of 17)	19	49956473	49974305	17833	1	126133	uc010yat.3	9377	ENSG00000161618	ALDH16A1	aldehyde dehydrogenase 16 family member A1
chr19	55552200	55552399	200	*	Exon (uc002qim.1/uc002qim.1, exon 1 of 1)	19	55525075	55549632	24558	2	51206	uc010esq.3	-2568	ENSG00000088053	GP6	glycoprotein VI platelet
chr19	55563725	55563899	175	*	Intron (uc010esr.1/112724, intron 1 of 5)	19	55538946	55565296	26351	2	112724	uc010esr.1	1397	ENSG00000160439	RDH13	retinol dehydrogenase 13
chr2	1521550	1521724	175	*	Intron (uc010ewj.3/7173, intron 5 of 5)	2	1488368	1546499	58132	1	7173	uc002qwz.3	33182	ENSG00000115705	TPO	thyroid peroxidase
chr2	1528850	1529049	200	*	Intron (uc010ewj.3/7173, intron 5 of 5)	2	1488368	1546499	58132	1	7173	uc002qwz.3	40482	ENSG00000115705	TPO	thyroid peroxidase
chr2	3362675	3362699	25	*	Intron (uc002qxj.2/7260, intron 1 of 8)	2	3192741	3381653	188913	2	7260	uc002qxj.2	18954	ENSG00000032389	EIPR1	EARP complex and GARP complex interacting protein 1
chr2	7191225	7191349	125	*	Distal Intergenic	2	7073188	7095132	21945	1	9781	uc002qyu.3	118037	ENSG00000151692	RNF144A	ring finger protein 144A
chr2	10200050	10200199	150	*	Intron (uc002rag.2/192668, intron 2 of 2)	2	10184372	10194963	10592	1	8462	uc010yjc.2	15678	ENSG00000172059	KLF11	Kruppel like factor 11
chr2	18565325	18565574	250	*	Distal Intergenic	2	18735989	18741959	5971	2	57665	uc002rcx.4	176385	ENSG00000240857	RDH14	retinol dehydrogenase 14
chr2	26999175	26999349	175	*	Exon (uc002rhp.1/54978, exon 5 of 6)	2	27008882	27017455	8574	1	1058	uc002rhr.3	-9533	ENSG00000115163	CENPA	centromere protein A
chr2	28643125	28643474	350	*	Distal Intergenic	2	28618579	28637516	18938	1	2355	uc010ymi.2	24546	ENSG00000075426	FOSL2	FOS like 2, AP-1 transcription factor subunit
chr2	36727000	36727099	100	*	Intron (uc002rpd.3/51232, intron 8 of 16)	2	36779404	36821709	42306	2	9637	uc002rpf.2	94610	ENSG00000171055	FEZ2	fasciculation and elongation protein zeta 2
chr2	48669900	48670099	200	*	Intron (uc002rwi.1/129285, intron 1 of 10)	2	48667908	48742531	74624	1	129285	uc010yok.2	1992	ENSG00000162869	PPP1R21	protein phosphatase 1 regulatory subunit 21
chr2	48680950	48681149	200	*	Intron (uc002rwi.1/129285, intron 2 of 10)	2	48667908	48742531	74624	1	129285	uc010yok.2	13042	ENSG00000162869	PPP1R21	protein phosphatase 1 regulatory subunit 21
chr2	48682100	48682299	200	*	Intron (uc002rwi.1/129285, intron 3 of 10)	2	48667908	48742531	74624	1	129285	uc010yok.2	14192	ENSG00000162869	PPP1R21	protein phosphatase 1 regulatory subunit 21
chr2	72968500	72968774	275	*	Exon (uc010fep.3/23233, exon 2 of 22)	2	72406444	73053177	646734	2	23233	uc010fep.3	84403	ENSG00000144036	EXOC6B	exocyst complex component 6B
chr2	75689775	75690024	250	*	Distal Intergenic	2	75719444	75788092	68649	2	84141	uc002sni.2	98068	ENSG00000115363	EVA1A	eva-1 homolog A, regulator of programmed cell death
chr2	95758500	95758574	75	*	Intron (uc002sub.3/64969, intron 10 of 11)	2	95752952	95787754	34803	2	64969	uc002sub.3	29180	ENSG00000144029	MRPS5	mitochondrial ribosomal protein S5
chr2	96436875	96437049	175	*	Distal Intergenic	2	96257766	96265469	7704	1	129868	uc002suv.3	179109	ENSG00000144015	TRIM43	tripartite motif containing 43
chr2	96887525	96887774	250	*	Intron (uc002svn.3/285033, intron 1 of 3)	2	96850603	96874573	23971	2	56910	uc002svm.4	-12952	ENSG00000084090	STARD7	StAR related lipid transfer domain containing 7
chr2	99049025	99049149	125	*	Distal Intergenic	2	99061321	99198284	136964	1	3631	uc010yvj.1	-12172	ENSG00000040933	INPP4A	inositol polyphosphate-4-phosphatase type I A
chr2	99049650	99049799	150	*	Distal Intergenic	2	99061321	99198284	136964	1	3631	uc010yvj.1	-11522	ENSG00000040933	INPP4A	inositol polyphosphate-4-phosphatase type I A
